Team,Wins,Losses,Draws,Win %
Colts,14,2,0,875
Saints,13,3,0,867
Chargers,13,3,0,813
Vikings,12,4,0,750
Packers,11,5,0,688
Cowboys,11,5,0,688
Eagles,11,5,0,688
Patriots,10,6,0,625
Cardinals,10,6,0,625
Bengals,10,6,0,625
Ravens,9,7,0,563
Jets,9,7,0,563
Texans,9,7,0,563
Steelers,9,7,0,563
Falcons,9,7,0,563
49ers,8,8,0,500
Panthers,8,8,0,500
Broncos,8,8,0,500
Giants,8,8,0,500
Titans,8,8,0,500
Dolphins,7,9,0,438
Bears,7,9,0,438
Jaguars,7,9,0,438
Bills,6,10,0,375
Seahawks,5,11,0,313
Browns,5,11,0,313
Raiders,5,11,0,313
Redskins,4,12,0,250
Chiefs,4,12,0,250
Buccaneers,3,13,0,188
Lions,2,14,0,125
Rams,1,15,0,63
