Round,Pick,Player,Name,Team,Position,College
1,1,1,Jadeveon Clowney,Texans,DE,South Carolina
1,2,2,Greg Robinson,Rams,T,Auburn
1,3,3,Blake Bortles,Jaguars,QB,Central Florida
1,4,4,Sammy Watkins,Bills,WR,Clemson
1,5,5,Khalil Mack,Raiders,LB,Buffalo
1,6,6,Jake Matthews,Falcons,T,Texas A&M
1,7,7,Mike Evans,Buccaneers,WR,Texas A&M
1,8,8,Justin Gilbert,Browns,DB,Oklahoma State
1,9,9,Anthony Barr,Vikings,LB,UCLA
1,10,10,Eric Ebron,Lions,TE,North Carolina
1,11,11,Taylor Lewan,Titans,T,Michigan
1,12,12,Odell Beckham,Giants,WR,Louisiana State
1,13,13,Aaron Donald,Rams,DT,Pittsburgh
1,14,14,Kyle Fuller,Bears,DB,Virginia Tech
1,15,15,Ryan Shazier,Steelers,LB,Ohio State
1,16,16,Zack Martin,Cowboys,T,Notre Dame
1,17,17,C.J. Mosley,Ravens,LB,Alabama
1,18,18,Calvin Pryor,Jets,DB,Louisville
1,19,19,Ja'Wuan James,Dolphins,T,Tennessee
1,20,20,Brandin Cooks,Saints,WR,Oregon State
1,21,21,Ha Ha Clinton-Dix,Packers,DB,Alabama
1,22,22,Johnny Manziel,Browns,QB,Texas A&M
1,23,23,Dee Ford,Chiefs,DE,Auburn
1,24,24,Darqueze Dennard,Bengals,DB,Michigan State
1,25,25,Jason Verrett,Chargers,DB,Texas Christian
1,26,26,Marcus Smith,Eagles,DE,Louisville
1,27,27,Deone Bucannon,Cardinals,DB,Washington State
1,28,28,Kelvin Benjamin,Panthers,WR,Florida State
1,29,29,Dominique Easley,Patriots,DT,Florida
1,30,30,Jimmie Ward,49ers,DB,Northern Illinois
1,31,31,Bradley Roby,Broncos,DB,Ohio State
1,32,32,Teddy Bridgewater,Vikings,QB,Louisville
2,1,33,Xavier Su'a-Filo,Texans,G,UCLA
2,2,34,Demarcus Lawrence,Cowboys,DE,Boise State
2,3,35,Joel Bitonio,Browns,T,Nevada
2,4,36,Derek Carr,Raiders,QB,Fresno State
2,5,37,Ra'Shede Hageman,Falcons,DT,Minnesota
2,6,38,Austin Seferian-Jenkins,Buccaneers,TE,Washington
2,7,39,Marqise Lee,Jaguars,WR,USC
2,8,40,Kyle Van Noy,Lions,LB,Brigham Young
2,9,41,Lamarcus Joyner,Rams,DB,Florida State
2,10,42,Jordan Matthews,Eagles,WR,Vanderbilt
2,11,43,Weston Richburg,Giants,C,Colorado State
2,12,44,Cyrus Kouandjio,Bills,T,Alabama
2,13,45,Paul Richardson,Seahawks,WR,Colorado
2,14,46,Stephon Tuitt,Steelers,DE,Notre Dame
2,15,47,Trent Murphy,Redskins,LB,Stanford
2,16,48,Timmy Jernigan,Ravens,DT,Florida State
2,17,49,Jace Amaro,Jets,TE,Texas Tech
2,18,50,Jeremiah Attaochu,Chargers,LB,Georgia Tech
2,19,51,Ego Ferguson,Bears,DT,Louisiana State
2,20,52,Troy Niklas,Cardinals,TE,Notre Dame
2,21,53,Davante Adams,Packers,WR,Fresno State
2,22,54,Bishop Sankey,Titans,RB,Washington
2,23,55,Jeremy Hill,Bengals,RB,Louisiana State
2,24,56,Cody Latimer,Broncos,WR,Indiana
2,25,57,Carlos Hyde,49ers,RB,Ohio State
2,26,58,Stanley Jean-Baptiste,Saints,DB,Nebraska
2,27,59,Jack Mewhort,Colts,T,Ohio State
2,28,60,Kony Ealy,Panthers,DE,Missouri
2,29,61,Allen Robinson,Jaguars,WR,Penn State
2,30,62,Jimmy Garoppolo,Patriots,QB,Eastern Illinois
2,31,63,Jarvis Landry,Dolphins,WR,Louisiana State
2,32,64,Justin Britt,Seahawks,T,Missouri
3,1,65,C.J. Fiedorowicz,Texans,TE,Iowa
3,2,66,Morgan Moses,Redskins,T,Virginia
3,3,67,Billy Turner,Dolphins,T,North Dakota State
3,4,68,Dezmen Southward,Falcons,DB,Wisconsin
3,5,69,Charles Sims,Buccaneers,RB,West Virginia
3,6,70,Marcus Martin,49ers,C,USC
3,7,71,Christian Kirksey,Browns,LB,Iowa
3,8,72,Scott Crichton,Vikings,DE,Oregon State
3,9,73,Preston Brown,Bills,LB,Louisville
3,10,74,Jay Bromley,Giants,DT,Syracuse
3,11,75,Tre Mason,Rams,RB,Auburn
3,12,76,Travis Swanson,Lions,C,Arkansas
3,13,77,Chris Borland,49ers,LB,Wisconsin
3,14,78,Spencer Long,Redskins,G,Nebraska
3,15,79,Terrence Brooks,Ravens,DB,Florida State
3,16,80,Dexter McDougle,Jets,DB,Maryland
3,17,81,Gabe Jackson,Raiders,G,Mississippi State
3,18,82,Will Sutton,Bears,DT,Arizona State
3,19,83,Louis Nix,Texans,DT,Notre Dame
3,20,84,Kareem Martin,Cardinals,DE,North Carolina
3,21,85,Khyri Thornton,Packers,DT,Southern Mississippi
3,22,86,Josh Huff,Eagles,WR,Oregon
3,23,87,Phillip Gaines,Chiefs,DB,Rice
3,24,88,Will Clarke,Bengals,DE,West Virginia
3,25,89,Chris Watt,Chargers,G,Notre Dame
3,26,90,Donte Moncrief,Colts,WR,Mississippi
3,27,91,John Brown,Cardinals,WR,Pittsburg State (KS)
3,28,92,Trai Turner,Panthers,G,Louisiana State
3,29,93,Brandon Linder,Jaguars,G,Miami (FL)
3,30,94,Terrance West,Browns,RB,Towson
3,31,95,Michael Schofield,Broncos,T,Michigan
3,32,96,Jerick McKinnon,Vikings,RB,Georgia Southern
3,33,97,Dri Archer,Steelers,RB,Kent State
3,34,98,Richard Rodgers,Packers,TE,California
3,35,99,Crockett Gillmore,Ravens,TE,Colorado State
3,36,100,Brandon Thomas,49ers,T,Clemson
4,1,101,Jaylen Watkins,Eagles,DB,Florida
4,2,102,Bashaud Breeland,Redskins,DB,Clemson
4,3,103,Devonta Freeman,Falcons,RB,Florida State
4,4,104,Jalen Saunders,Jets,WR,Oklahoma
4,5,105,Bryan Stork,Patriots,C,Florida State
4,6,106,Bruce Ellington,49ers,WR,South Carolina
4,7,107,Justin Ellis,Raiders,DT,Louisiana Tech
4,8,108,Cassius Marsh,Seahawks,DE,UCLA
